chr	start	end	markName
NC_049201.1	10018424	10023460	Ref. Intergenic
NC_049201.1	10096511	10116510	Ref. Intergenic
NC_049201.1	10281031	10294305	Ref. Intergenic
NC_049201.1	1036671	1040054	Ref. Intergenic
NC_049201.1	10440979	10460978	Ref. Intergenic
NC_049201.1	10609952	10613610	Ref. Intergenic
NC_049201.1	1061861	1077700	Ref. Intergenic
NC_049201.1	10633614	10636107	Ref. Intergenic
NC_049201.1	10647022	10649374	Ref. Intergenic
NC_049201.1	10673875	10678331	Ref. Intergenic
NC_049201.1	10709543	10729542	Ref. Intergenic
NC_049201.1	10756720	10776719	Ref. Intergenic
NC_049201.1	10809897	10819389	Ref. Intergenic
NC_049201.1	1082950	1086232	Ref. Intergenic
NC_049201.1	10877581	10881784	Ref. Intergenic
NC_049201.1	10911064	10916028	Ref. Intergenic
NC_049201.1	1096413	1116412	Ref. Intergenic
NC_049201.1	11022405	11042404	Ref. Intergenic
NC_049201.1	11237601	11257600	Ref. Intergenic
NC_049201.1	11349826	11352495	Ref. Intergenic
NC_049201.1	11427780	11447779	Ref. Intergenic
NC_049201.1	11510196	11523910	Ref. Intergenic
NC_049201.1	11660591	11680590	Ref. Intergenic
NC_049201.1	11817948	11837497	Ref. Intergenic
NC_049201.1	11915045	11917700	Ref. Intergenic
NC_049201.1	11962691	11978905	Ref. Intergenic
NC_049201.1	11979979	11981561	Ref. Intergenic
NC_049201.1	11991689	11993008	Ref. Intergenic
NC_049201.1	12009294	12015028	Ref. Intergenic
NC_049201.1	12020051	12032289	Ref. Intergenic
NC_049201.1	12192229	12212228	Ref. Intergenic
NC_049201.1	1248747	1268746	Ref. Intergenic
NC_049201.1	12540862	12560861	Ref. Intergenic
NC_049201.1	12587747	12607746	Ref. Intergenic
NC_049201.1	12698512	12705737	Ref. Intergenic
NC_049201.1	12777820	12794317	Ref. Intergenic
NC_049201.1	12914763	12917202	Ref. Intergenic
NC_049201.1	13069392	13079773	Ref. Intergenic
NC_049201.1	13083224	13084836	Ref. Intergenic
NC_049201.1	13119933	13121011	Ref. Intergenic
NC_049201.1	13197882	13217881	Ref. Intergenic
NC_049201.1	13374507	13389674	Ref. Intergenic
NC_049201.1	13546025	13566024	Ref. Intergenic
NC_049201.1	135950	151590	Ref. Intergenic
NC_049201.1	13690801	13692308	Ref. Intergenic
