chr	start	end	markName
1	100127999	100147998	Ref. Intergenic
1	100164360	100178768	Ref. Intergenic
1	100425370	100445369	Ref. Intergenic
1	100518306	100538305	Ref. Intergenic
1	100640840	100660839	Ref. Intergenic
1	100709141	100729140	Ref. Intergenic
1	100827395	100847394	Ref. Intergenic
1	100963191	100983190	Ref. Intergenic
1	101285077	101304168	Ref. Intergenic
1	101357135	101364751	Ref. Intergenic
1	101394555	101414554	Ref. Intergenic
1	101429076	101444989	Ref. Intergenic
1	101615415	101625802	Ref. Intergenic
1	101693863	101713862	Ref. Intergenic
1	101792333	101812332	Ref. Intergenic
1	101834512	101851942	Ref. Intergenic
1	102108779	102110007	Ref. Intergenic
1	102263927	102283926	Ref. Intergenic
1	102384033	102404032	Ref. Intergenic
1	102429806	102431158	Ref. Intergenic
1	102515893	102535892	Ref. Intergenic
1	102639595	102659594	Ref. Intergenic
1	102679703	102694870	Ref. Intergenic
1	102709274	102729273	Ref. Intergenic
1	102744829	102764828	Ref. Intergenic
1	102781731	102801730	Ref. Intergenic
1	102840562	102860561	Ref. Intergenic
1	102964802	102984801	Ref. Intergenic
1	103065957	103077489	Ref. Intergenic
1	103080308	103100307	Ref. Intergenic
1	103183111	103203110	Ref. Intergenic
1	103400377	103420376	Ref. Intergenic
1	103609135	103629134	Ref. Intergenic
1	103750668	103770667	Ref. Intergenic
1	103793412	103799734	Ref. Intergenic
1	103957417	103977416	Ref. Intergenic
1	104005488	104025487	Ref. Intergenic
1	104079773	104099772	Ref. Intergenic
1	104195889	104215888	Ref. Intergenic
1	104274848	104291705	Ref. Intergenic
1	104337127	104357126	Ref. Intergenic
1	104402547	104413214	Ref. Intergenic
1	104425340	104445339	Ref. Intergenic
1	104475820	104495819	Ref. Intergenic
1	104558685	104578684	Ref. Intergenic
1	104596997	104616996	Ref. Intergenic
1	104643065	104663064	Ref. Intergenic
1	104668092	104676226	Ref. Intergenic
1	104677365	104684345	Ref. Intergenic
1	104685484	104689172	Ref. Intergenic
1	104864243	104884242	Ref. Intergenic
1	104954817	104974816	Ref. Intergenic
1	105024303	105044302	Ref. Intergenic
1	105094436	105114435	Ref. Intergenic
1	10519117	10539116	Ref. Intergenic
1	105284745	105304744	Ref. Intergenic
1	105470341	105490340	Ref. Intergenic
1	105496177	105516176	Ref. Intergenic
1	105572447	105592446	Ref. Intergenic
1	105699075	105719074	Ref. Intergenic
1	105770900	105782757	Ref. Intergenic
1	105968463	105988462	Ref. Intergenic
1	106191363	106211362	Ref. Intergenic
1	106274789	106294788	Ref. Intergenic
1	10651974	10671973	Ref. Intergenic
1	106721353	106741352	Ref. Intergenic
1	106754240	106768261	Ref. Intergenic
1	106769400	106779934	Ref. Intergenic
1	106851063	106871062	Ref. Intergenic
1	106915598	106935597	Ref. Intergenic
1	10706588	10721661	Ref. Intergenic
1	107148051	107168050	Ref. Intergenic
1	107416924	107436923	Ref. Intergenic
1	107640587	107660586	Ref. Intergenic
1	107827927	107847926	Ref. Intergenic
1	107934159	107954158	Ref. Intergenic
1	108004485	108024484	Ref. Intergenic
1	10801175	10821174	Ref. Intergenic
1	108222918	108242917	Ref. Intergenic
1	10827069	10847068	Ref. Intergenic
1	108347132	108367131	Ref. Intergenic
1	108480975	108500974	Ref. Intergenic
1	108703544	108710189	Ref. Intergenic
1	108862498	108873263	Ref. Intergenic
1	108874689	108894688	Ref. Intergenic
1	109012245	109032244	Ref. Intergenic
1	109095092	109115091	Ref. Intergenic
1	109134587	109146958	Ref. Intergenic
1	109164208	109184207	Ref. Intergenic
1	109239537	109259536	Ref. Intergenic
1	109277685	109297684	Ref. Intergenic
1	109365091	109385090	Ref. Intergenic
1	10936907	10945502	Ref. Intergenic
1	109453497	109471964	Ref. Intergenic
1	10946641	10959712	Ref. Intergenic
1	109518927	109538926	Ref. Intergenic
1	109586785	109591992	Ref. Intergenic
1	109593131	109598611	Ref. Intergenic
1	109599751	109615878	Ref. Intergenic
1	109623001	109643000	Ref. Intergenic
1	109668993	109679520	Ref. Intergenic
1	109680658	109687380	Ref. Intergenic
1	10984309	10986192	Ref. Intergenic
1	109931107	109951106	Ref. Intergenic
1	110031961	110051960	Ref. Intergenic
1	110123043	110143042	Ref. Intergenic
1	110156085	110168344	Ref. Intergenic
1	110180667	110193353	Ref. Intergenic
1	110224327	110244326	Ref. Intergenic
1	110274480	110289281	Ref. Intergenic
1	110298145	110318144	Ref. Intergenic
1	110327540	110347539	Ref. Intergenic
1	110349210	110365043	Ref. Intergenic
1	110366183	110371158	Ref. Intergenic
1	110386519	110406518	Ref. Intergenic
1	110421880	110437228	Ref. Intergenic
1	110446186	110466185	Ref. Intergenic
1	110475143	110492206	Ref. Intergenic
1	110860549	110880548	Ref. Intergenic
1	110972559	110983815	Ref. Intergenic
1	110984955	110994054	Ref. Intergenic
1	111049471	111069470	Ref. Intergenic
1	111253370	111273369	Ref. Intergenic
1	111437859	111457858	Ref. Intergenic
1	111511249	111531248	Ref. Intergenic
1	111597765	111617764	Ref. Intergenic
1	1116849	1130044	Ref. Intergenic
1	111689627	111709626	Ref. Intergenic
1	111892563	111912562	Ref. Intergenic
1	112052696	112072695	Ref. Intergenic
1	112076555	112096554	Ref. Intergenic
1	112115026	112135025	Ref. Intergenic
1	11211886	11231885	Ref. Intergenic
1	112491931	112511930	Ref. Intergenic
1	112627283	112647282	Ref. Intergenic
1	112725948	112745947	Ref. Intergenic
