chr	start	end	markName
1	100221005	100225615	Ref. Intergenic
1	100225716	100227790	Ref. Intergenic
1	100227891	100230678	Ref. Intergenic
1	100232506	100236387	Ref. Intergenic
1	100236488	100241004	Ref. Intergenic
1	100725151	100726566	Ref. Intergenic
1	100726667	100729725	Ref. Intergenic
1	100730571	100733285	Ref. Intergenic
1	100733386	100745150	Ref. Intergenic
1	10096439	10101576	Ref. Intergenic
1	10101677	10103301	Ref. Intergenic
1	10103966	10107073	Ref. Intergenic
1	101160593	101173518	Ref. Intergenic
1	101173619	101175069	Ref. Intergenic
1	101175420	101179528	Ref. Intergenic
1	101670536	101673042	Ref. Intergenic
1	101673143	101675484	Ref. Intergenic
1	101675585	101684078	Ref. Intergenic
1	102131193	102145616	Ref. Intergenic
1	102671376	102676896	Ref. Intergenic
1	102676997	102691037	Ref. Intergenic
1	103087070	103088194	Ref. Intergenic
1	103088295	103089953	Ref. Intergenic
1	103090054	103100347	Ref. Intergenic
1	103166213	103186212	Ref. Intergenic
1	103240821	103253578	Ref. Intergenic
1	103253874	103260820	Ref. Intergenic
1	103342261	103359064	Ref. Intergenic
1	103359165	103362260	Ref. Intergenic
1	1035042	1036711	Ref. Intergenic
1	103603067	103607971	Ref. Intergenic
1	103608072	103617094	Ref. Intergenic
1	103617156	103622721	Ref. Intergenic
1	104045117	104047331	Ref. Intergenic
1	104047432	104050071	Ref. Intergenic
1	104050172	104053831	Ref. Intergenic
1	104055685	104056739	Ref. Intergenic
1	104056840	104058429	Ref. Intergenic
1	104251232	104257470	Ref. Intergenic
1	104257868	104263179	Ref. Intergenic
1	104263850	104271231	Ref. Intergenic
1	104426184	104431566	Ref. Intergenic
1	104431667	104436201	Ref. Intergenic
1	104436302	104439222	Ref. Intergenic
1	104439434	104443803	Ref. Intergenic
1	104613763	104615049	Ref. Intergenic
1	104615150	104616838	Ref. Intergenic
1	104616939	104626730	Ref. Intergenic
1	104626831	104628908	Ref. Intergenic
1	104629813	104633762	Ref. Intergenic
1	104742885	104757895	Ref. Intergenic
1	104757996	104760400	Ref. Intergenic
1	104760501	104762884	Ref. Intergenic
1	10495143	10496960	Ref. Intergenic
1	1049539	1051149	Ref. Intergenic
1	10497026	10507643	Ref. Intergenic
1	10507676	10515142	Ref. Intergenic
1	105554421	105558162	Ref. Intergenic
1	105558348	105563405	Ref. Intergenic
1	105563506	105564858	Ref. Intergenic
1	105571273	105574420	Ref. Intergenic
1	106540239	106543018	Ref. Intergenic
1	106543119	106555566	Ref. Intergenic
1	106555667	106560238	Ref. Intergenic
1	106752467	106754070	Ref. Intergenic
1	106759793	106763201	Ref. Intergenic
1	106763302	106772466	Ref. Intergenic
1	107218515	107222086	Ref. Intergenic
1	107222778	107224324	Ref. Intergenic
1	107226799	107228604	Ref. Intergenic
1	107228705	107231170	Ref. Intergenic
1	107231441	107238514	Ref. Intergenic
1	1073501	1074543	Ref. Intergenic
1	10769681	10781646	Ref. Intergenic
1	107807177	107813538	Ref. Intergenic
1	107813731	107827176	Ref. Intergenic
1	10784267	10789680	Ref. Intergenic
1	107984126	107985651	Ref. Intergenic
1	107989589	107991091	Ref. Intergenic
1	107995338	107997141	Ref. Intergenic
1	108011963	108015383	Ref. Intergenic
1	108016127	108025432	Ref. Intergenic
1	108025533	108029898	Ref. Intergenic
1	108029999	108031962	Ref. Intergenic
1	108054027	108055941	Ref. Intergenic
1	108335407	108343164	Ref. Intergenic
1	108343612	108345536	Ref. Intergenic
1	108348345	108349639	Ref. Intergenic
1	108349740	108354290	Ref. Intergenic
1	108491003	108503477	Ref. Intergenic
1	108503578	108509729	Ref. Intergenic
1	108509830	108511002	Ref. Intergenic
1	108566850	108585114	Ref. Intergenic
1	109084425	109086678	Ref. Intergenic
1	109086779	109100170	Ref. Intergenic
1	109588074	109589832	Ref. Intergenic
1	109620772	109629405	Ref. Intergenic
1	109629438	109636789	Ref. Intergenic
1	109675247	109691952	Ref. Intergenic
1	109692365	109695246	Ref. Intergenic
1	109733772	109748435	Ref. Intergenic
1	109748604	109751984	Ref. Intergenic
1	109752405	109753664	Ref. Intergenic
1	109909363	109912225	Ref. Intergenic
1	109912326	109922829	Ref. Intergenic
1	109923510	109928726	Ref. Intergenic
1	110027815	110047814	Ref. Intergenic
1	110082218	110087489	Ref. Intergenic
1	110088140	110102217	Ref. Intergenic
1	110218626	110228097	Ref. Intergenic
1	110266153	110268882	Ref. Intergenic
1	110269763	110286152	Ref. Intergenic
1	110506533	110522838	Ref. Intergenic
1	110523348	110526532	Ref. Intergenic
1	110782973	110796280	Ref. Intergenic
1	110816885	110825135	Ref. Intergenic
1	110825236	110828335	Ref. Intergenic
1	110828879	110830294	Ref. Intergenic
1	110831310	110836401	Ref. Intergenic
1	110862257	110865829	Ref. Intergenic
1	110867593	110869301	Ref. Intergenic
1	110869402	110870619	Ref. Intergenic
1	110870720	110872618	Ref. Intergenic
1	110872875	110875419	Ref. Intergenic
1	110875520	110882256	Ref. Intergenic
1	110912125	110929101	Ref. Intergenic
1	1109145	1112111	Ref. Intergenic
1	110929439	110932124	Ref. Intergenic
1	110938604	110958603	Ref. Intergenic
1	110961467	110968282	Ref. Intergenic
1	110982088	110985856	Ref. Intergenic
1	111043846	111057957	Ref. Intergenic
1	111058624	111063845	Ref. Intergenic
1	111181671	111191630	Ref. Intergenic
1	111191822	111201670	Ref. Intergenic
1	1112212	1124226	Ref. Intergenic
1	111260619	111263174	Ref. Intergenic
1	111357729	111365637	Ref. Intergenic
1	111366667	111377728	Ref. Intergenic
1	111402719	111403756	Ref. Intergenic
1	11141633	11161632	Ref. Intergenic
