chr	start	end	markName
1	100145804	100152897	Ref. Intergenic
1	100205568	100213077	Ref. Intergenic
1	100224597	100244596	Ref. Intergenic
1	100339943	100359942	Ref. Intergenic
1	100485327	100504930	Ref. Intergenic
1	1005200	1014413	Ref. Intergenic
1	100604931	100624930	Ref. Intergenic
1	100790182	100800787	Ref. Intergenic
1	100883203	100885666	Ref. Intergenic
1	100898767	100918766	Ref. Intergenic
1	100940059	100945889	Ref. Intergenic
1	100961939	100981938	Ref. Intergenic
1	101250250	101255003	Ref. Intergenic
1	101333973	101338799	Ref. Intergenic
1	101339917	101348259	Ref. Intergenic
1	101508531	101512845	Ref. Intergenic
1	101514010	101532191	Ref. Intergenic
1	101548593	101568592	Ref. Intergenic
1	101606803	101626802	Ref. Intergenic
1	101649792	101661973	Ref. Intergenic
1	101700983	101720982	Ref. Intergenic
1	101759088	101776886	Ref. Intergenic
1	101784813	101785879	Ref. Intergenic
1	101787044	101800173	Ref. Intergenic
1	101801338	101808443	Ref. Intergenic
1	101809598	101820823	Ref. Intergenic
1	101821987	101838381	Ref. Intergenic
1	101915129	101935128	Ref. Intergenic
1	101985311	101996725	Ref. Intergenic
1	102001538	102003835	Ref. Intergenic
1	102071376	102087456	Ref. Intergenic
1	102248995	102268994	Ref. Intergenic
1	102367315	102387314	Ref. Intergenic
1	10253141	10273140	Ref. Intergenic
1	102624609	102644608	Ref. Intergenic
1	102707209	102727208	Ref. Intergenic
1	102976339	102996338	Ref. Intergenic
1	103009308	103023984	Ref. Intergenic
1	103025324	103027633	Ref. Intergenic
1	1031103	1051102	Ref. Intergenic
1	103137037	103157036	Ref. Intergenic
1	103162678	103178411	Ref. Intergenic
1	103179575	103190765	Ref. Intergenic
1	103193074	103205171	Ref. Intergenic
1	103206336	103212380	Ref. Intergenic
1	103686400	103706399	Ref. Intergenic
1	103733896	103743952	Ref. Intergenic
1	103745118	103755583	Ref. Intergenic
1	103762481	103782480	Ref. Intergenic
1	10381331	10401330	Ref. Intergenic
1	104080654	104100653	Ref. Intergenic
1	104168195	104188194	Ref. Intergenic
1	104366726	104381303	Ref. Intergenic
1	104395313	104415312	Ref. Intergenic
1	104441936	104449321	Ref. Intergenic
1	104459384	104475029	Ref. Intergenic
1	104495537	104507623	Ref. Intergenic
1	104510298	104523986	Ref. Intergenic
1	104779979	104799978	Ref. Intergenic
1	104820751	104840750	Ref. Intergenic
1	104863409	104883408	Ref. Intergenic
1	104912477	104927517	Ref. Intergenic
1	104982860	104997145	Ref. Intergenic
1	10513575	10533574	Ref. Intergenic
1	105283585	105303584	Ref. Intergenic
1	105414863	105434862	Ref. Intergenic
1	105573507	105593506	Ref. Intergenic
1	105855082	105875081	Ref. Intergenic
1	106037261	106055436	Ref. Intergenic
1	10607569	10627568	Ref. Intergenic
1	106473867	106493866	Ref. Intergenic
1	106593188	106613187	Ref. Intergenic
1	106666801	106686800	Ref. Intergenic
1	1068670	1080402	Ref. Intergenic
1	106949201	106969200	Ref. Intergenic
1	107024272	107044271	Ref. Intergenic
1	107122113	107140453	Ref. Intergenic
1	107205237	107225236	Ref. Intergenic
1	107262674	107272312	Ref. Intergenic
1	107387451	107407450	Ref. Intergenic
1	107458949	107478948	Ref. Intergenic
1	107536849	107556848	Ref. Intergenic
1	107588016	107589965	Ref. Intergenic
1	107764620	107784619	Ref. Intergenic
1	107905347	107925346	Ref. Intergenic
