chr	start	end	markName
JZLF01086619.1	501	1559	Ref. Intergenic
KQ004606.1	10009965	10014512	Ref. Intergenic
KQ004606.1	10026922	10029040	Ref. Intergenic
KQ004606.1	10032716	10036932	Ref. Intergenic
KQ004606.1	1014708	1023701	Ref. Intergenic
KQ004606.1	10157828	10161728	Ref. Intergenic
KQ004606.1	10165488	10169536	Ref. Intergenic
KQ004606.1	10171232	10173448	Ref. Intergenic
KQ004606.1	10223151	10243150	Ref. Intergenic
KQ004606.1	1024634	1026807	Ref. Intergenic
KQ004606.1	10270851	10272559	Ref. Intergenic
KQ004606.1	1027293	1034707	Ref. Intergenic
KQ004606.1	10277171	10281952	Ref. Intergenic
KQ004606.1	10340045	10343351	Ref. Intergenic
KQ004606.1	10343924	10350064	Ref. Intergenic
KQ004606.1	10351120	10353651	Ref. Intergenic
KQ004606.1	10368672	10372161	Ref. Intergenic
KQ004606.1	10417341	10418852	Ref. Intergenic
KQ004606.1	10419762	10422674	Ref. Intergenic
KQ004606.1	10426808	10433940	Ref. Intergenic
KQ004606.1	10478466	10482950	Ref. Intergenic
KQ004606.1	10541575	10546675	Ref. Intergenic
KQ004606.1	10548102	10557448	Ref. Intergenic
KQ004606.1	10580271	10590726	Ref. Intergenic
KQ004606.1	10590777	10600270	Ref. Intergenic
KQ004606.1	10674580	10679095	Ref. Intergenic
KQ004606.1	10681548	10688885	Ref. Intergenic
KQ004606.1	10727620	10729467	Ref. Intergenic
KQ004606.1	10730958	10736853	Ref. Intergenic
KQ004606.1	10775032	10785153	Ref. Intergenic
KQ004606.1	10796841	10798543	Ref. Intergenic
KQ004606.1	10865139	10875955	Ref. Intergenic
KQ004606.1	10878753	10885138	Ref. Intergenic
KQ004606.1	10981864	10984557	Ref. Intergenic
KQ004606.1	11002468	11006321	Ref. Intergenic
KQ004606.1	11045506	11049825	Ref. Intergenic
KQ004606.1	11110515	11115531	Ref. Intergenic
KQ004606.1	11116115	11117905	Ref. Intergenic
KQ004606.1	11117965	11123586	Ref. Intergenic
KQ004606.1	11147117	11167116	Ref. Intergenic
KQ004606.1	11204621	11210350	Ref. Intergenic
KQ004606.1	11216001	11224620	Ref. Intergenic
KQ004606.1	11250009	11259411	Ref. Intergenic
KQ004606.1	11259704	11270008	Ref. Intergenic
KQ004606.1	11328750	11335327	Ref. Intergenic
KQ004606.1	11336298	11348472	Ref. Intergenic
KQ004606.1	11519827	11523530	Ref. Intergenic
KQ004606.1	11557954	11568770	Ref. Intergenic
KQ004606.1	11571536	11577953	Ref. Intergenic
KQ004606.1	11596223	11601882	Ref. Intergenic
KQ004606.1	11609345	11611298	Ref. Intergenic
KQ004606.1	11611465	11623228	Ref. Intergenic
KQ004606.1	11624757	11629344	Ref. Intergenic
KQ004606.1	11655393	11675392	Ref. Intergenic
KQ004606.1	1175873	1177337	Ref. Intergenic
KQ004606.1	11790261	11791275	Ref. Intergenic
