chr	start	end	markName
AGKD04009452.1	65899	67879	Ref. Intergenic
AGKD04009455.1	32150	42698	Ref. Intergenic
AGKD04009455.1	43719	45517	Ref. Intergenic
AGKD04009455.1	74528	75541	Ref. Intergenic
AGKD04009465.1	1821	5504	Ref. Intergenic
AGKD04009498.1	13652	19122	Ref. Intergenic
AGKD04009498.1	3577	6145	Ref. Intergenic
AGKD04009500.1	501	1554	Ref. Intergenic
AGKD04009501.1	13163	15023	Ref. Intergenic
AGKD04009501.1	1872	4270	Ref. Intergenic
AGKD04009501.1	6758	8427	Ref. Intergenic
AGKD04009501.1	8478	12308	Ref. Intergenic
AGKD04009515.1	501	1764	Ref. Intergenic
AGKD04009580.1	6361	9769	Ref. Intergenic
AGKD04010186.1	2195	3229	Ref. Intergenic
AGKD04010199.1	40189	42735	Ref. Intergenic
AGKD04010852.1	11445	14121	Ref. Intergenic
AGKD04010852.1	26014	37450	Ref. Intergenic
AGKD04010857.1	8755	10519	Ref. Intergenic
AGKD04010894.1	12281	13750	Ref. Intergenic
AGKD04010894.1	502	11314	Ref. Intergenic
AGKD04010948.1	32028	33685	Ref. Intergenic
AGKD04010948.1	3788	6281	Ref. Intergenic
AGKD04010948.1	7143	16931	Ref. Intergenic
AGKD04010955.1	31885	50857	Ref. Intergenic
AGKD04011002.1	19097	28705	Ref. Intergenic
AGKD04011007.1	21589	26325	Ref. Intergenic
AGKD04011007.1	26389	30904	Ref. Intergenic
AGKD04011007.1	501	8989	Ref. Intergenic
AGKD04011007.1	9303	10640	Ref. Intergenic
AGKD04011046.1	23547	43546	Ref. Intergenic
AGKD04011083.1	23508	36438	Ref. Intergenic
AGKD04011112.1	19518	20680	Ref. Intergenic
AGKD04011112.1	21200	22923	Ref. Intergenic
AGKD04011112.1	24119	34172	Ref. Intergenic
AGKD04011112.1	34724	37218	Ref. Intergenic
AGKD04011112.1	38083	39517	Ref. Intergenic
AGKD04011121.1	10513	13974	Ref. Intergenic
AGKD04011174.1	35388	40664	Ref. Intergenic
AGKD04011174.1	42225	44345	Ref. Intergenic
AGKD04011174.1	45709	48175	Ref. Intergenic
AGKD04011230.1	501	1592	Ref. Intergenic
AGKD04011270.1	1073	2567	Ref. Intergenic
AGKD04011270.1	3732	5296	Ref. Intergenic
AGKD04011270.1	45726	46798	Ref. Intergenic
AGKD04011270.1	6461	8029	Ref. Intergenic
AGKD04011270.1	9195	10762	Ref. Intergenic
AGKD04011374.1	36775	44158	Ref. Intergenic
AGKD04011374.1	502	7915	Ref. Intergenic
AGKD04011602.1	33018	34098	Ref. Intergenic
AGKD04011602.1	34600	38414	Ref. Intergenic
AGKD04011606.1	1632	3197	Ref. Intergenic
AGKD04011606.1	4361	5928	Ref. Intergenic
AGKD04011606.1	7091	8657	Ref. Intergenic
AGKD04011620.1	30003	32769	Ref. Intergenic
AGKD04011639.1	32899	40445	Ref. Intergenic
AGKD04011672.1	10608	23082	Ref. Intergenic
AGKD04011672.1	29044	40450	Ref. Intergenic
AGKD04011672.1	502	4657	Ref. Intergenic
AGKD04011806.1	4838	6387	Ref. Intergenic
AGKD04011806.1	501	3672	Ref. Intergenic
AGKD04011812.1	36352	38253	Ref. Intergenic
AGKD04011812.1	39418	40984	Ref. Intergenic
AGKD04011918.1	2197	3780	Ref. Intergenic
AGKD04011961.1	7234	9362	Ref. Intergenic
AGKD04011969.1	37715	40063	Ref. Intergenic
AGKD04012523.1	13083	15308	Ref. Intergenic
AGKD04012717.1	501	2741	Ref. Intergenic
AGKD04012830.1	32771	34890	Ref. Intergenic
AGKD04014831.1	2331	3392	Ref. Intergenic
AGKD04014839.1	501	8440	Ref. Intergenic
AGKD04014867.1	501	3148	Ref. Intergenic
AGKD04014939.1	8381	9516	Ref. Intergenic
AGKD04014973.1	13993	22338	Ref. Intergenic
AGKD04014973.1	2339	8667	Ref. Intergenic
AGKD04014998.1	501	3112	Ref. Intergenic
AGKD04014998.1	5364	7437	Ref. Intergenic
AGKD04015079.1	16250	20116	Ref. Intergenic
AGKD04015079.1	5773	13481	Ref. Intergenic
AGKD04015096.1	6596	8773	Ref. Intergenic
AGKD04015220.1	1203	21202	Ref. Intergenic
AGKD04015337.1	12772	14057	Ref. Intergenic
AGKD04015337.1	16198	18230	Ref. Intergenic
AGKD04015337.1	502	2323	Ref. Intergenic
AGKD04015464.1	12629	13763	Ref. Intergenic
AGKD04015464.1	501	11067	Ref. Intergenic
AGKD04015527.1	501	2752	Ref. Intergenic
AGKD04015572.1	4268	7361	Ref. Intergenic
AGKD04015724.1	501	7964	Ref. Intergenic
