gene_id	sumUMI	CPM	type	biotype	zScore	pValue	calls_pValue	cellTypeName	cellTypeId
ENSMUSG00000000001	63	77.086002283214	genic	protein_coding	3.33800756547698	0.00042190725920677	present	B-cell	CL:0000236
ENSMUSG00000000003	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000028	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000031	0	0	genic	lincRNA	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000037	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000049	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000056	19	23.2481594187471	genic	protein_coding	2.0823496916431	0.0186552700469892	present	B-cell	CL:0000236
ENSMUSG00000000058	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000078	47	57.5086048779533	genic	protein_coding	3.03109766703955	0.00121833208126926	present	B-cell	CL:0000236
ENSMUSG00000000085	11	13.4594607161167	genic	protein_coding	1.5098341806103	0.065542870464603	absent	B-cell	CL:0000236
ENSMUSG00000000088	208	254.506166268389	genic	protein_coding	4.58916907046178	2.22506945005023e-06	present	B-cell	CL:0000236
ENSMUSG00000000093	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000094	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000103	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000120	3	3.67076201348638	genic	protein_coding	0.148809155587676	0.440852112984344	absent	B-cell	CL:0000236
ENSMUSG00000000125	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000126	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000127	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000131	58	70.96806559407	genic	protein_coding	3.25138633207216	0.000574218436333878	present	B-cell	CL:0000236
