"#libraryId"	"experimentId"	"platform"	"organId"	"organName"	"uberonId"	"uberonName"	"stageId"	"stageName"	"infoOrgan"	"infoStage"	"sampleTitle"	"sampleSource"	"sampleDescription"	"sampleCharacteristics"	"organAnnotationStatus"	"organBiologicalStatus"	"stageAnnotationStatus"	"stageBiologicalStatus"	"sex"	"strain"	"speciesId"	"comment"	"annotatorId"	"lastModificationDate"	"replicate"	"infoReplicate"	
"SRX081869"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0000955"	"brain"	"GgalDv:0000008"	"1-year-old chicken stage"	"Brain"	"~1 year, adult"	"gga br F 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"F"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081870"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0000955"	"brain"	"GgalDv:0000008"	"1-year-old chicken stage"	"Brain"	"~1 year, adult"	"gga br M 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"M"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081871"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002037"	"cerebellum"	"GgalDv:0000008"	"1-year-old chicken stage"	"Cerebellum"	"~1 year, adult"	"gga cb F 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"F"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081872"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002037"	"cerebellum"	"GgalDv:0000008"	"1-year-old chicken stage"	"Cerebellum"	"~1 year, adult"	"gga cb M 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"M"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081873"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0000948"	"heart"	"GgalDv:0000008"	"1-year-old chicken stage"	"Heart"	"~1 year, adult"	"gga ht F 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"F"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081874"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0000948"	"heart"	"GgalDv:0000008"	"1-year-old chicken stage"	"Heart"	"~1 year, adult"	"gga ht M 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"M"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	"The difference between the vertebrate 'chambered heart' and the birds and mammals '4-chambered heart' could be done via 'interventricular septum'."
"SRX081875"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002113"	"kidney"	"GgalDv:0000008"	"1-year-old chicken stage"	"Kidney"	"~1 year, adult"	"gga kd F 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"F"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081876"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002113"	"kidney"	"GgalDv:0000008"	"1-year-old chicken stage"	"Kidney"	"~1 year, adult"	"gga kd M 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"M"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081877"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002107"	"liver"	"GgalDv:0000008"	"1-year-old chicken stage"	"Liver"	"~1 year, adult"	"gga lv F 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"F"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
"SRX081878"	"GSE30352"	"Illumina Genome Analyzer IIx"			"UBERON:0002107"	"liver"	"GgalDv:0000008"	"1-year-old chicken stage"	"Liver"	"~1 year, adult"	"gga lv M 1"				"perfect match"	"not documented"	"other"	"partial sampling"	"M"	"Red Junglefowl"	9031	"Chicken"	"ANN"	"2013-08-23"		"GEO - [...] we generated RNA-Seq data [...] of brain (cerebral cortex or whole brain without cerebellum), cerebellum, heart, kidney, liver and testis (usually from one male and one female per somatic tissue and two males for testis)[...]"	
