1_64309_84308 1+ 64309-84308	45.23
1_134756_149137 1- 134756-149137	44.63
1_198128_201549 1+ 198128-201549	37.03
1_222405_231821 1+ 222405-231821	43.86
1_274220_278269 1- 274220-278269	50.62
1_281387_282875 1- 281387-282875	54.67
1_283876_289197 1- 283876-289197	43.91
1_304913_312071 1+ 304913-312071	38.36
1_346630_354112 1- 346630-354112	54.30
1_417984_437983 1+ 417984-437983	47.92
1_481123_501122 1- 481123-501122	46.06
1_568129_572080 1+ 568129-572080	55.49
1_613464_629313 1- 613464-629313	49.20
1_632908_635108 1- 632908-635108	48.07
1_667273_682164 1+ 667273-682164	61.67
1_703182_705779 1- 703182-705779	43.84
1_709745_711284 1+ 709745-711284	42.60
1_714894_716275 1- 714894-716275	47.47
1_811658_830287 1+ 811658-830287	48.88
1_872891_877607 1+ 872891-877607	58.21
1_907087_911622 1- 907087-911622	50.62
1_934371_940545 1- 934371-940545	44.63
1_952114_958807 1- 952114-958807	46.22
1_1101712_1104813 1+ 1101712-1104813	37.40
1_1167031_1174947 1+ 1167031-1174947	40.17
1_1188898_1191251 1+ 1188898-1191251	50.89
1_1199402_1206279 1+ 1199402-1206279	39.05
1_1246675_1250687 1- 1246675-1250687	38.13
1_1270657_1276085 1- 1270657-1276085	38.17
1_1341882_1361881 1- 1341882-1361881	45.98
1_1434032_1436757 1+ 1434032-1436757	43.54
1_1615792_1617765 1+ 1615792-1617765	42.91
1_1620903_1632138 1+ 1620903-1632138	51.84
1_1686095_1690647 1+ 1686095-1690647	45.66
1_1865930_1867092 1- 1865930-1867092	42.05
1_1877532_1889881 1+ 1877532-1889881	42.70
1_1902265_1905636 1- 1902265-1905636	41.70
1_1961947_1974126 1+ 1961947-1974126	39.41
1_1987469_1996403 1- 1987469-1996403	39.98
1_2010165_2021211 1+ 2010165-2021211	39.15
1_2073782_2075135 1- 2073782-2075135	31.09
1_2103186_2105923 1+ 2103186-2105923	36.60
1_2252838_2272837 1+ 2252838-2272837	43.38
1_2556083_2576082 1- 2556083-2576082	40.86
1_2624787_2634547 1- 2624787-2634547	44.99
1_2660065_2661756 1+ 2660065-2661756	38.36
1_2677729_2679908 1+ 2677729-2679908	38.03
1_2727680_2728874 1+ 2727680-2728874	31.80
1_2799634_2800791 1+ 2799634-2800791	43.44
1_2834255_2836563 1+ 2834255-2836563	42.96
1_2841213_2842601 1- 2841213-2842601	33.26
1_2848917_2850904 1- 2848917-2850904	35.11
1_2853021_2854593 1+ 2853021-2854593	36.55
1_2942165_2947577 1+ 2942165-2947577	40.20
1_2985408_3005407 1+ 2985408-3005407	41.66
1_3114506_3115832 1- 3114506-3115832	32.18
1_3169043_3171371 1- 3169043-3171371	42.64
1_3186187_3206186 1+ 3186187-3206186	44.34
1_3229563_3249562 1- 3229563-3249562	44.30
1_3271760_3281042 1- 3271760-3281042	43.70
1_3307705_3310172 1+ 3307705-3310172	32.98
1_3324495_3325842 1- 3324495-3325842	40.43
1_3463908_3474320 1- 3463908-3474320	42.12
1_3475798_3485679 1- 3475798-3485679	35.29
1_3507095_3527094 1- 3507095-3527094	38.47
1_3656131_3658039 1+ 3656131-3658039	33.84
1_3749333_3751960 1- 3749333-3751960	43.30
1_3762917_3782916 1+ 3762917-3782916	39.31
1_3819489_3839488 1- 3819489-3839488	39.26
1_3929670_3938267 1+ 3929670-3938267	44.46
1_3970124_3971938 1- 3970124-3971938	40.28
1_4285599_4305598 1+ 4285599-4305598	45.02
1_4384466_4400423 1+ 4384466-4400423	41.66
1_4506742_4510631 1+ 4506742-4510631	36.12
1_4723635_4734050 1+ 4723635-4734050	39.53
1_4779849_4799848 1+ 4779849-4799848	40.29
1_4836403_4837815 1- 4836403-4837815	32.77
1_4876780_4879285 1+ 4876780-4879285	40.82
1_4908175_4928174 1- 4908175-4928174	39.48
1_4962099_4982098 1+ 4962099-4982098	42.29
1_5013426_5015230 1- 5013426-5015230	38.56
1_5148965_5153193 1- 5148965-5153193	44.41
1_5267059_5287058 1+ 5267059-5287058	40.74
1_5391893_5396580 1- 5391893-5396580	36.54
1_5484556_5504555 1+ 5484556-5504555	41.71
1_5551479_5571478 1+ 5551479-5571478	43.97
1_5683368_5692676 1+ 5683368-5692676	41.99
1_6262001_6282000 1+ 6262001-6282000	36.95
1_6648949_6668948 1- 6648949-6668948	39.59
1_6709641_6711959 1- 6709641-6711959	37.21
1_6722897_6724332 1- 6722897-6724332	39.76
1_6726509_6729060 1- 6726509-6729060	39.11
1_6784908_6802970 1+ 6784908-6802970	37.06
1_6809240_6824572 1+ 6809240-6824572	42.65
1_6866201_6886200 1+ 6866201-6886200	40.15
1_6933759_6953758 1+ 6933759-6953758	38.04
1_7170522_7190521 1+ 7170522-7190521	37.18
1_7492504_7497445 1- 7492504-7497445	46.68
1_7503279_7516142 1+ 7503279-7516142	40.07
1_7585139_7605138 1- 7585139-7605138	39.01
1_7922485_7925384 1- 7922485-7925384	35.55
1_8201129_8221128 1- 8201129-8221128	39.40
1_8238943_8255754 1+ 8238943-8255754	40.98
1_8351872_8365824 1+ 8351872-8365824	41.94
1_8377634_8379576 1+ 8377634-8379576	37.21
1_8458377_8464956 1+ 8458377-8464956	42.99
1_8483985_8503984 1- 8483985-8503984	39.72
1_8530939_8535370 1- 8530939-8535370	38.52
1_8558605_8578604 1+ 8558605-8578604	39.93
1_8647321_8666784 1+ 8647321-8666784	39.08
1_8674824_8694823 1- 8674824-8694823	39.72
1_8793643_8795682 1- 8793643-8795682	39.56
1_8803291_8811957 1- 8803291-8811957	36.43
1_8833993_8845740 1- 8833993-8845740	38.92
1_9280203_9300202 1- 9280203-9300202	39.05
1_9308845_9312844 1- 9308845-9312844	37.62
1_9357869_9362592 1- 9357869-9362592	38.00
1_9412256_9418982 1+ 9412256-9418982	48.95
1_9419983_9427584 1+ 9419983-9427584	49.68
1_9431427_9432659 1- 9431427-9432659	50.04
1_9437074_9457073 1+ 9437074-9457073	39.31
1_9568047_9588046 1- 9568047-9588046	40.27
1_9621115_9641114 1- 9621115-9641114	39.75
1_9766201_9770060 1+ 9766201-9770060	41.32
1_9858797_9878796 1+ 9858797-9878796	37.59
1_9926365_9946364 1- 9926365-9946364	36.59
1_9971575_9977185 1+ 9971575-9977185	38.60
1_10041201_10048008 1+ 10041201-10048008	37.85
1_10156645_10176644 1- 10156645-10176644	40.59
1_10327413_10347412 1+ 10327413-10347412	37.19
1_10370945_10390944 1- 10370945-10390944	39.28
1_10415052_10416634 1+ 10415052-10416634	30.32
1_10429659_10430950 1- 10429659-10430950	34.06
1_10438099_10441667 1+ 10438099-10441667	36.45
1_10473493_10480896 1- 10473493-10480896	39.63
1_10501598_10502640 1+ 10501598-10502640	42.47
1_10575970_10595969 1- 10575970-10595969	37.35
1_10625459_10636023 1- 10625459-10636023	38.82
1_10645131_10665130 1- 10645131-10665130	36.91
1_10677072_10679061 1+ 10677072-10679061	34.77
1_10697589_10699093 1+ 10697589-10699093	38.60
1_10812647_10832646 1+ 10812647-10832646	40.39
1_10968439_10977514 1- 10968439-10977514	39.20
1_10989707_10993618 1- 10989707-10993618	38.73
1_11071747_11076057 1- 11071747-11076057	35.05
1_11083758_11086251 1+ 11083758-11086251	40.98
1_11106203_11107905 1+ 11106203-11107905	39.52
1_11271777_11283896 1- 11271777-11283896	36.34
1_11461464_11481463 1+ 11461464-11481463	38.73
1_11652639_11671359 1- 11652639-11671359	40.98
1_11833795_11839105 1+ 11833795-11839105	40.71
1_11881966_11901965 1- 11881966-11901965	43.63
1_12004313_12024312 1- 12004313-12024312	37.95
1_12036627_12054866 1+ 12036627-12054866	38.95
1_12067499_12080482 1+ 12067499-12080482	40.97
1_12224213_12244212 1+ 12224213-12244212	38.10
1_12442253_12444776 1+ 12442253-12444776	36.49
1_12492046_12504315 1- 12492046-12504315	40.42
1_12505375_12516334 1+ 12505375-12516334	38.90
1_12608004_12614762 1+ 12608004-12614762	41.22
1_12617214_12619462 1+ 12617214-12619462	38.02
1_12621860_12623000 1+ 12621860-12623000	30.50
1_12687572_12689357 1- 12687572-12689357	39.42
1_12691425_12693555 1- 12691425-12693555	36.51
1_12766397_12786396 1+ 12766397-12786396	37.98
1_12840336_12841710 1- 12840336-12841710	32.36
1_12902596_12914198 1- 12902596-12914198	38.41
1_12949343_12969342 1+ 12949343-12969342	38.08
